Player,Nation,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A
Virgil van Dijk,NED,28,38,38,3420,5,1,0,0,1,0,0.13,0.03,0.16
Trent Alexander-Arnold,ENG,20,38,35,3175,4,13,0,0,5,0,0.11,0.37,0.48
Georginio Wijnaldum,NED,28,37,35,2935,4,0,0,0,0,0,0.12,0,0.12
Andrew Robertson,SCO,25,36,34,3111,2,12,0,0,2,0,0.06,0.35,0.41
Roberto Firmino,BRA,27,38,34,2988,9,8,0,0,0,0,0.27,0.24,0.51
Mohamed Salah,EGY,27,34,33,2876,19,10,3,3,1,0,0.59,0.31,0.91
Sadio Mané,SEN,27,35,31,2747,18,7,0,0,3,0,0.59,0.23,0.82
Alisson,BRA,26,29,29,2543,0,1,0,0,0,1,0,0.04,0.04
Jordan Henderson,ENG,29,30,26,2238,4,5,0,0,2,0,0.16,0.2,0.36
Fabinho,BRA,25,28,22,2079,2,3,0,0,6,0,0.09,0.13,0.22
Joe Gomez,ENG,22,28,22,2004,0,0,0,0,7,0,0,0,0
Alex Oxlade-Chamberlain,ENG,25,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.3
James Milner,ENG,33,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38
Adrián,ESP,32,11,9,875,0,0,0,0,1,0,0,0,0
Naby Keïta,GUI,24,18,9,815,2,3,0,0,1,0,0.22,0.33,0.55
Dejan Lovren,CRO,30,10,9,777,0,1,0,0,1,0,0,0.12,0.12
Joël Matip,CMR,27,9,8,703,1,0,0,0,0,0,0.13,0,0.13
Divock Origi,BEL,24,28,7,717,4,1,0,0,1,0,0.5,0.13,0.63
Adam Lallana,ENG,31,15,3,382,1,1,0,0,1,0,0.24,0.24,0.47
Neco Williams,WAL,18,6,3,230,0,0,0,0,1,0,0,0,0
Takumi Minamino,JPN,24,10,2,249,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,SUI,27,7,2,185,1,0,0,0,0,0,0.49,0,0.49
Curtis Jones,ENG,18,6,1,126,1,0,0,0,0,0,0.71,0,0.71
Harvey Elliot,ENG,16,2,0,8,0,0,0,0,0,0,0,0,0
Rhian Brewster,ENG,19,0,0,,,,,,,,,,
Ki-Jana Hoever,NED,17,0,0,,,,,,,,,,
Caoimhin Kelleher,IRL,20,0,0,,,,,,,,,,
Andy Lonergan,IRL,35,0,0,,,,,,,,,,
Nathaniel Phillips,ENG,22,0,0,,,,,,,,,,
