Player,Nation,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Virgil van Dijk,NED,28,38,1,0,0,16,25,1,0,35,20,0,0,0,505,183,43,81
Trent Alexander-Arnold,ENG,20,35.3,5,0,0,22,9,3,377,46,25,0,0,0,352,14,32,30.4
Georginio Wijnaldum,NED,28,32.6,0,0,0,15,32,1,5,18,29,0,0,0,296,37,53,41.1
Andrew Robertson,SCO,25,34.6,2,0,0,18,13,2,204,38,32,0,0,0,340,25,32,43.9
Roberto Firmino,BRA,27,33.2,0,0,0,29,16,6,8,8,26,0,0,0,191,29,74,28.2
Mohamed Salah,EGY,27,32,1,0,0,17,18,20,45,8,13,1,0,0,167,13,48,21.3
Sadio Mané,SEN,27,30.5,3,0,0,46,51,14,49,14,35,2,0,0,169,35,79,30.7
Alisson,BRA,26,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,
Jordan Henderson,ENG,29,24.9,2,0,0,31,12,0,58,29,36,0,0,0,322,25,10,71.4
Fabinho,BRA,25,23.1,6,0,0,32,20,0,9,35,53,0,0,0,326,41,30,57.7
Joe Gomez,ENG,22,22.3,7,0,0,21,13,0,9,41,15,0,1,0,351,72,44,62.1
Alex Oxlade-Chamberlain,ENG,25,16.5,1,0,0,17,14,2,45,22,14,0,0,1,133,13,26,33.3
James Milner,ENG,33,10.4,4,0,0,11,12,1,20,8,10,0,0,0,102,16,8,66.7
Adrián,ESP,32,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,
Naby Keïta,GUI,24,9.1,1,0,0,9,10,1,7,11,20,0,0,0,99,8,7,53.3
Dejan Lovren,CRO,30,8.6,1,0,0,4,8,0,1,11,9,0,0,0,107,39,21,65
Joël Matip,CMR,27,7.8,0,0,0,7,6,0,1,13,9,0,0,0,92,46,5,90.2
Divock Origi,BEL,24,8,1,0,0,12,16,0,18,4,10,1,0,0,43,14,24,36.8
Adam Lallana,ENG,31,4.2,1,0,0,7,8,1,3,4,12,0,0,0,51,7,11,38.9
Neco Williams,WAL,18,2.6,1,0,0,5,2,0,14,8,2,0,0,0,36,5,4,55.6
Takumi Minamino,JPN,24,2.8,0,0,0,7,3,0,3,0,3,0,0,0,11,5,5,50
Xherdan Shaqiri,SUI,27,2.1,0,0,0,1,3,1,6,0,0,0,0,0,17,3,4,42.9
Curtis Jones,ENG,18,1.4,0,0,0,3,0,0,0,2,2,0,0,0,20,2,3,40
Harvey Elliot,ENG,16,0.1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
