,,,,Total,,,,,Long,,,Medium,,,Long,,,,,,,,
Player,Nation,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,KP,1/3,PPA,CrsPA,Prog
Virgil van Dijk,NED,28,38,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,7,228,9,0,156
Trent Alexander-Arnold,ENG,20,35.3,2254,3147,71.6,49809,19995,33,120,27.5,1558,1821,85.6,663,1206,55,13,85,202,90,30,459
Georginio Wijnaldum,NED,28,32.6,1477,1628,90.7,25473,4631,24,54,44.4,1231,1320,93.3,222,254,87.4,0,18,130,24,0,103
Andrew Robertson,SCO,25,34.6,2370,2928,80.9,43579,14588,24,77,31.2,1906,2158,88.3,440,693,63.5,12,61,175,65,27,335
Roberto Firmino,BRA,27,33.2,931,1171,79.5,14337,3583,42,101,41.6,765,921,83.1,124,149,83.2,8,49,70,35,0,102
Mohamed Salah,EGY,27,32,746,1004,74.3,11226,2982,18,66,27.3,655,812,80.7,73,126,57.9,10,54,40,60,6,120
Sadio Man?,SEN,27,30.5,933,1162,80.3,15607,3859,25,69,36.2,755,888,85,153,205,74.6,7,56,65,66,11,132
Alisson,BRA,26,28.3,794,925,85.8,22277,12306,2,2,100,407,410,99.3,385,513,75,1,2,7,1,0,1
Jordan Henderson,ENG,29,24.9,1582,1879,84.2,32654,7681,24,60,40,1119,1219,91.8,439,600,73.2,5,22,181,32,6,181
Fabinho,BRA,25,23.1,1334,1528,87.3,27065,5338,19,35,54.3,962,1056,91.1,353,437,80.8,3,18,129,21,2,101
Joe Gomez,ENG,22,22.3,1743,1960,88.9,39368,10458,14,24,58.3,1125,1214,92.7,604,722,83.7,0,5,130,11,2,95
Alex Oxlade-Chamberlain,ENG,25,16.5,592,748,79.1,11902,2554,10,31,32.3,435,514,84.6,147,203,72.4,1,17,81,31,7,79
James Milner,ENG,33,10.4,664,773,85.9,13502,3314,5,22,22.7,484,525,92.2,175,226,77.4,2,9,68,12,1,71
Adri?n,ESP,32,9.7,227,314,72.3,6825,3820,2,4,50,107,108,99.1,118,202,58.4,0,0,3,0,0,0
Naby Ke?ta,GUI,24,9.1,608,684,88.9,9688,2389,12,25,48,520,559,93,76,100,76,3,15,74,16,2,65
Dejan Lovren,CRO,30,8.6,530,603,87.9,11986,3512,1,5,20,346,370,93.5,183,228,80.3,1,1,43,4,0,34
Jo?l Matip,CMR,27,7.8,448,514,87.2,10265,3136,1,3,33.3,285,311,91.6,162,200,81,0,0,44,2,0,39
Divock Origi,BEL,24,8,158,219,72.1,2486,349,6,9,66.7,132,168,78.6,20,42,47.6,1,6,5,9,2,12
Adam Lallana,ENG,31,4.2,229,270,84.8,3400,791,6,15,40,203,222,91.4,20,33,60.6,1,5,23,4,0,18
Neco Williams,WAL,18,2.6,165,205,80.5,3196,700,2,9,22.2,128,143,89.5,35,53,66,0,2,6,3,1,11
Takumi Minamino,JPN,24,2.8,98,111,88.3,1465,186,4,5,80,84,94,89.4,10,12,83.3,0,1,3,4,1,6
Xherdan Shaqiri,SUI,27,2.1,90,109,82.6,1637,526,1,2,50,71,80,88.8,18,27,66.7,0,3,11,3,2,18
Curtis Jones,ENG,18,1.4,111,128,86.7,1843,452,1,4,25,99,111,89.2,11,13,84.6,0,0,11,3,0,12

