Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
Virgil van Dijk,nl NED,DF,28,38,5,30,14,46.7,0.79,0.37,0.17,0.36,0,0,0
Trent Alexander-Arnold,eng ENG,DF,20,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,12,0,0
Georginio Wijnaldum,nl NED,MF,28,32.6,4,36,15,41.7,1.1,0.46,0.11,0.27,0,0,0
Andrew Robertson,sco SCO,DF,25,34.6,2,20,6,30,0.58,0.17,0.1,0.33,0,0,0
Roberto Firmino,br BRA,FW,27,33.2,9,100,37,37,3.01,1.11,0.09,0.24,0,0,0
Mohamed Salah,eg EGY,FW,27,32,19,130,56,43.1,4.07,1.75,0.12,0.29,4,3,3
Sadio Mané,sn SEN,FW,27,30.5,18,76,36,47.4,2.49,1.18,0.24,0.5,0,0,0
Alisson,br BRA,GK,26,28.3,0,0,0,,0,0,,,0,0,0
Jordan Henderson,eng ENG,MF,29,24.9,4,20,8,40,0.8,0.32,0.2,0.5,0,0,0
Fabinho,br BRA,MF,25,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,2,0,0
Joe Gomez,eng ENG,DF,22,22.3,0,1,0,0,0.04,0,0,,0,0,0
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,4,40,10,25,2.42,0.61,0.1,0.4,0,0,0
James Milner,eng ENG,"MF,DF",33,10.4,2,10,1,10,0.96,0.1,0,0,0,2,2
Adrián,es ESP,GK,32,9.7,0,0,0,,0,0,,,0,0,0
Naby Keïta,gn GUI,MF,24,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,0,0,0
Dejan Lovren,hr CRO,DF,30,8.6,0,5,1,20,0.58,0.12,0,0,0,0,0
Joël Matip,cm CMR,DF,27,7.8,1,4,1,25,0.51,0.13,0.25,1,0,0,0
Divock Origi,be BEL,FW,24,8,4,14,6,42.9,1.76,0.75,0.29,0.67,0,0,0
Adam Lallana,eng ENG,"MF,FW",31,4.2,1,5,1,20,1.18,0.24,0.2,1,0,0,0
Neco Williams,wal WAL,DF,18,2.6,0,7,1,14.3,2.74,0.39,0,0,0,0,0
Takumi Minamino,jp JPN,"FW,MF",24,2.8,0,9,2,22.2,3.25,0.72,0,0,0,0,0
Xherdan Shaqiri,ch SUI,FW,27,2.1,1,4,1,25,1.95,0.49,0.25,1,0,0,0
Curtis Jones,eng ENG,MF,18,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,0,0,0
Harvey Elliot,eng ENG,DF,16,0.1,0,0,0,,0,0,,,0,0,0
