,,,Playing Time,,,,,Starts,,Subs,,,Team Success,,,,,
Player,Nation,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
Virgil van Dijk,NED,28,38,3420,90,100,38,38,90,0,,0,2.61,85,33,52,1.37,
Trent Alexander-Arnold,ENG,20,38,3175,84,92.8,35.3,35,88,3,26,0,2.61,80,31,49,1.39,0.29
Georginio Wijnaldum,NED,28,37,2935,79,85.8,32.6,35,82,2,28,0,2.59,74,28,46,1.41,0.3
Andrew Robertson,SCO,25,36,3111,86,91,34.6,34,89,2,39,0,2.64,80,31,49,1.42,0.54
Roberto Firmino,BRA,27,38,2988,79,87.4,33.2,34,84,4,33,0,2.61,75,26,49,1.48,0.85
Mohamed Salah,EGY,27,34,2876,85,84.1,32,33,86,1,27,3,2.68,68,26,42,1.31,-0.34
Sadio Mané,SEN,27,35,2747,78,80.3,30.5,31,85,4,26,1,2.57,66,28,38,1.24,-0.63
Alisson,BRA,26,29,2543,88,74.4,28.3,29,88,0,,0,2.48,61,23,38,1.34,-0.09
Jordan Henderson,ENG,29,30,2238,75,65.4,24.9,26,84,4,16,1,2.77,54,14,40,1.61,0.69
Fabinho,BRA,25,28,2079,74,60.8,23.1,22,89,6,22,2,2.46,50,26,24,1.04,-0.84
Joe Gomez,ENG,22,28,2004,72,58.6,22.3,22,88,6,12,9,2.64,53,16,37,1.66,0.71
Alex Oxlade-Chamberlain,ENG,25,30,1485,50,43.4,16.5,17,70,13,23,4,2.5,35,12,23,1.39,0.05
James Milner,ENG,33,22,937,43,27.4,10.4,9,83,13,15,5,2.91,26,9,17,1.63,0.36
Adrián,ESP,32,11,875,80,25.6,9.7,9,90,2,33,27,3,24,10,14,1.44,0.1
Naby Keïta,GUI,24,18,815,45,23.8,9.1,9,73,9,18,9,2.33,19,7,12,1.33,-0.06
Dejan Lovren,CRO,30,10,777,78,22.7,8.6,9,84,1,18,10,2.5,19,11,8,0.93,-0.57
Joël Matip,CMR,27,9,703,78,20.6,7.8,8,88,1,1,7,2.56,15,5,10,1.28,-0.11
Divock Origi,BEL,24,28,717,26,21,8,7,61,21,14,9,2.54,23,12,11,1.38,0.02
Adam Lallana,ENG,31,15,382,25,11.2,4.2,3,73,12,14,11,2.67,9,5,4,0.94,-0.48
Neco Williams,WAL,18,6,230,38,6.7,2.6,3,66,3,11,9,2.17,5,3,2,0.78,-0.63
Takumi Minamino,JPN,24,10,249,25,7.3,2.8,2,54,8,18,7,1.9,4,2,2,0.72,-0.7
Xherdan Shaqiri,SUI,27,7,185,26,5.4,2.1,2,80,5,5,10,2.57,6,2,4,1.95,0.61
Curtis Jones,ENG,18,6,126,21,3.7,1.4,1,68,5,12,10,2.67,4,2,2,1.43,0.06
Harvey Elliot,ENG,16,2,8,4,0.2,0.1,0,,2,4,10,3,0,0,0,0,-1.37
Rhian Brewster,ENG,19,0,,,,,0,,0,,1,,,,,,
Ki-Jana Hoever,NED,17,0,,,,,0,,0,,1,,,,,,
Caoimhin Kelleher,IRL,20,0,,,,,0,,0,,7,,,,,,
Andy Lonergan,IRL,35,0,,,,,0,,0,,2,,,,,,
Nathaniel Phillips,ENG,22,0,,,,,0,,0,,2,,,,,,
